train_acc,train_loss,val_acc,val_loss
0.6859999999999999,1.3652956,0.8554,1.8621497
0.9629999999999999,0.54601187,0.9416,0.89379126
0.984,0.297949,0.9603999999999999,0.40083417
0.993,0.16784832,0.9623999999999998,0.30233228
1.0,0.1017257,0.9681000000000001,0.23149613
1.0,0.06375919,0.9676,0.20096357
1.0,0.044155788,0.9716000000000001,0.17199033
1.0,0.032865204,0.972,0.1575092
1.0,0.02650017,0.9725999999999998,0.14556754
1.0,0.021953152,0.9732999999999999,0.13516037
1.0,0.019064585,0.9736999999999999,0.13101666
1.0,0.016099872,0.9734999999999999,0.12676217
1.0,0.014286483,0.975,0.12264094
1.0,0.012601845,0.9745999999999999,0.1189484
1.0,0.011563582,0.9749999999999999,0.1159043
1.0,0.010149662,0.9744999999999999,0.11442896
1.0,0.00950486,0.9749000000000002,0.11255229
1.0,0.009030063,0.9752000000000001,0.11055576
1.0,0.008592198,0.9756,0.10826107
1.0,0.0074711903,0.9751999999999998,0.107462846
1.0,0.0073456913,0.9751000000000001,0.10578486
1.0,0.007124769,0.9749000000000001,0.10618495
1.0,0.00638551,0.9750999999999999,0.10553506
1.0,0.006146834,0.9750999999999999,0.103344716
1.0,0.0057795835,0.9752,0.10259315
1.0,0.005520611,0.9753000000000002,0.102066
1.0,0.005156793,0.9754,0.101352185
1.0,0.004863892,0.9752000000000001,0.10064255
1.0,0.0053379266,0.9753000000000002,0.10010431
1.0,0.0047965217,0.9751000000000002,0.099742934
1.0,0.004579816,0.9752999999999998,0.099339105
1.0,0.0044468613,0.9753000000000001,0.098935135
1.0,0.004868128,0.9754,0.09880326
1.0,0.0046034106,0.9749000000000002,0.099156216
1.0,0.0045230365,0.9752000000000001,0.09806802
1.0,0.004453323,0.9751000000000001,0.09801223
1.0,0.004294739,0.9751000000000001,0.09784451
1.0,0.004097779,0.9748,0.097753584
1.0,0.004002453,0.975,0.09751883
1.0,0.0038436656,0.9754,0.0977023
1.0,0.0040562516,0.9751000000000001,0.097100064
1.0,0.0038141352,0.9754999999999999,0.09682193
1.0,0.0038391934,0.9752000000000001,0.09681073
1.0,0.0037315756,0.9752000000000001,0.096827105
1.0,0.0037867639,0.9750999999999999,0.09702802
1.0,0.0038527052,0.9753000000000001,0.09700822
1.0,0.0038217646,0.9753000000000002,0.09652489
1.0,0.0038677796,0.9752,0.09663156
1.0,0.0037514549,0.9752,0.096854664
1.0,0.0037625968,0.9753000000000001,0.09682229
