train_acc,train_loss,val_acc,val_loss,val_sens
1.0,0.0023062737,0.95,0.07491396,0.95
1.0,0.00084019854,0.95,0.057374775,0.95
1.0,0.0006884388,0.95,0.06320745,0.95
1.0,0.00040545687,0.95,0.0543935,0.95
1.0,0.00013084462,0.95,0.05508123,0.95
1.0,0.00017390848,0.95,0.05899904,0.95
1.0,0.00013354384,0.95,0.054557186,0.95
1.0,9.772773e-05,0.95,0.056293566,0.95
1.0,0.00022064074,0.95,0.058919102,0.95
1.0,0.00014536692,0.95,0.051915072,0.95
1.0,0.00010463312,0.95,0.054663975,0.95
1.0,0.00024076444,0.95,0.055383883,0.95
1.0,5.0149563e-05,0.95,0.053372234,0.95
1.0,7.701134e-05,0.95,0.054088764,0.95
1.0,6.1077706e-05,0.95,0.05197798,0.95
1.0,6.737972e-05,0.95,0.05351109,0.95
1.0,7.285103e-05,0.95,0.056505848,0.95
1.0,0.00013558543,0.95,0.05372703,0.95
1.0,7.962252e-05,0.95,0.055537827,0.95
1.0,7.7726676e-05,0.95,0.051872533,0.95
