train_acc,train_loss,val_acc,val_loss,val_sens
0.4335000000000001,1.5739329,0.454,1.5340363,0.454
0.51825,1.3538496,0.541,1.2735479,0.541
0.623,1.0946313,0.5429999999999999,1.2067182,0.543
0.6705,0.95070904,0.54,1.2259065,0.54
0.7485,0.74628896,0.584,1.1445227,0.5840000000000001
0.7615000000000001,0.6967626,0.6100000000000001,1.0718086,0.6100000000000001
0.8195,0.53315574,0.6200000000000001,1.0721343,0.62
0.8420000000000002,0.478756,0.624,1.0977658,0.624
0.868,0.4021731,0.61,1.1592458,0.6100000000000001
0.8787499999999999,0.3592183,0.62,1.1368892,0.6200000000000001
0.8905,0.33284956,0.616,1.2187264,0.6160000000000001
0.89375,0.30466348,0.6130000000000001,1.2755748,0.6130000000000001
0.9145000000000001,0.2527512,0.641,1.1469091,0.641
0.92075,0.24751051,0.6209999999999999,1.1983213,0.6210000000000001
0.924,0.21614659,0.631,1.3042911,0.631
0.931,0.19671807,0.6410000000000001,1.2260748,0.641
0.9280000000000002,0.20034699,0.628,1.2753532,0.6280000000000001
0.943,0.17737517,0.634,1.3356053,0.634
0.9445,0.16629611,0.642,1.368085,0.642
0.94025,0.17836648,0.631,1.4058083,0.631
0.95,0.16005148,0.6180000000000001,1.4128934,0.618
0.95075,0.15041056,0.6339999999999999,1.378747,0.6339999999999999
0.9524999999999999,0.14396317,0.632,1.4390765,0.6319999999999999
0.954,0.13934615,0.632,1.4430301,0.632
0.9565000000000001,0.13415678,0.6420000000000001,1.3251736,0.642
0.9577500000000001,0.1341782,0.612,1.4799984,0.6120000000000001
0.9549999999999998,0.13021658,0.629,1.397522,0.6290000000000001
0.9467500000000001,0.14709109,0.633,1.4690878,0.633
0.9694999999999998,0.101778425,0.634,1.4592823,0.634
0.9587499999999999,0.11876539,0.638,1.4734083,0.638
0.9610000000000001,0.12151496,0.627,1.4775274,0.627
0.9620000000000001,0.10737975,0.653,1.4491081,0.6529999999999999
0.975,0.07493468,0.6369999999999999,1.4373109,0.637
0.9677499999999999,0.08866208,0.647,1.4016132,0.647
0.9694999999999998,0.090443246,0.635,1.443186,0.635
0.968,0.09029067,0.6360000000000001,1.4580741,0.6359999999999999
0.9814999999999999,0.05543236,0.651,1.4534637,0.651
0.9704999999999998,0.08883778,0.6329999999999999,1.5764271,0.6329999999999999
0.9709999999999999,0.08695622,0.62,1.5885364,0.62
0.9722500000000001,0.085967466,0.638,1.4920292,0.638
0.9715,0.08338924,0.645,1.4461997,0.645
0.9684999999999999,0.09331532,0.645,1.4968522,0.6450000000000001
0.975,0.09417181,0.6409999999999999,1.4820193,0.641
0.9717500000000001,0.08683896,0.6359999999999999,1.5094718,0.6360000000000001
0.9749999999999999,0.07110162,0.65,1.4387324,0.65
0.9747499999999999,0.07833903,0.6479999999999999,1.5194663,0.648
0.9784999999999998,0.07031298,0.65,1.5144025,0.65
0.9752500000000002,0.07357691,0.647,1.5866635,0.647
0.9779999999999998,0.07647125,0.647,1.5197175,0.6469999999999999
0.9787500000000001,0.06766986,0.6450000000000001,1.5641959,0.6449999999999999
0.9739999999999999,0.07819106,0.651,1.5265526,0.651
0.978,0.06768508,0.6500000000000001,1.5756801,0.65
0.9744999999999999,0.076414034,0.648,1.5682626,0.6479999999999999
0.9807499999999999,0.06234169,0.6359999999999999,1.601264,0.636
0.976,0.06997741,0.645,1.6801926,0.6449999999999999
0.984,0.053966284,0.66,1.6257206,0.6599999999999999
0.9759999999999998,0.06697144,0.65,1.6133547,0.65
0.98275,0.058035247,0.6479999999999999,1.6046991,0.648
0.9800000000000001,0.06440239,0.6479999999999999,1.7169195,0.648
0.9807499999999999,0.059784792,0.6439999999999999,1.7821066,0.644
0.9790000000000001,0.059615873,0.637,1.689938,0.6370000000000001
0.9802500000000001,0.058019258,0.65,1.6450427,0.65
0.9744999999999997,0.07541858,0.653,1.6448367,0.653
0.98325,0.052779533,0.641,1.745375,0.641
0.9794999999999998,0.0639813,0.6459999999999999,1.6241455,0.646
0.977,0.06501,0.6529999999999999,1.6133015,0.6529999999999999
0.982,0.059792154,0.6450000000000001,1.6988672,0.6449999999999999
0.9780000000000001,0.06285373,0.635,1.7139432,0.635
0.9819999999999999,0.056110434,0.649,1.6731396,0.649
0.98325,0.05120452,0.645,1.6192926,0.6450000000000001
0.9799999999999999,0.05260039,0.645,1.6776257,0.6449999999999999
0.98675,0.03877142,0.657,1.6467526,0.6569999999999998
0.9879999999999999,0.040103573,0.648,1.7302672,0.6479999999999999
0.9897499999999999,0.040374212,0.637,1.8409685,0.637
0.9874999999999998,0.04704777,0.647,1.7022095,0.6469999999999999
0.9850000000000001,0.051308554,0.6559999999999999,1.749404,0.656
0.9799999999999999,0.062406342,0.6500000000000001,1.7780457,0.65
0.986,0.044350613,0.6519999999999999,1.6699984,0.652
0.986,0.03958877,0.658,1.699082,0.658
0.9872500000000001,0.03917871,0.653,1.6831474,0.653
0.9875,0.039263725,0.657,1.832772,0.657
0.9855,0.045489315,0.6539999999999999,1.7052088,0.6540000000000001
0.9824999999999999,0.05001393,0.66,1.6929991,0.66
0.9864999999999998,0.041301955,0.656,1.740201,0.6559999999999999
0.991,0.027216816,0.672,1.6870931,0.6719999999999999
0.9914999999999999,0.030445516,0.641,1.7337046,0.6409999999999999
0.9899999999999999,0.028268263,0.6519999999999999,1.7032782,0.6519999999999999
0.9882500000000001,0.031554934,0.652,1.7909044,0.652
0.9934999999999997,0.023228297,0.6479999999999999,1.7204602,0.648
0.9912500000000002,0.031516522,0.641,1.747308,0.641
0.9865,0.035002068,0.6449999999999999,1.7902489,0.6449999999999999
0.9894999999999999,0.035912562,0.6370000000000001,1.774346,0.6369999999999999
0.9914999999999999,0.028329432,0.65,1.8240678,0.6499999999999999
0.9905000000000002,0.030541778,0.6489999999999999,1.8129742,0.649
0.9899999999999999,0.03096121,0.642,1.7814649,0.642
0.9897500000000001,0.03241526,0.634,1.8627052,0.6340000000000001
0.9899999999999999,0.03573724,0.651,1.8776798,0.651
0.9920000000000002,0.029082846,0.635,1.885967,0.635
0.9894999999999999,0.03236135,0.642,1.8469813,0.642
0.9907499999999999,0.030906718,0.658,1.7881861,0.6579999999999999
0.9884999999999999,0.030976057,0.6639999999999999,1.8223702,0.664
0.9934999999999998,0.02590428,0.655,1.7915299,0.655
0.9899999999999999,0.024515517,0.658,1.8913263,0.6580000000000001
0.9932500000000001,0.022225022,0.659,1.7840941,0.659
0.9944999999999998,0.018358875,0.6549999999999999,1.8002268,0.655
0.99125,0.025582844,0.658,1.8459297,0.6580000000000001
0.9925,0.02103454,0.647,1.8211124,0.647
0.9932500000000001,0.020151187,0.662,1.79818,0.6619999999999999
0.9919999999999998,0.026652128,0.646,1.905064,0.646
0.991,0.025056425,0.6450000000000001,1.9189857,0.6449999999999999
0.9944999999999998,0.01715159,0.6609999999999999,1.7274109,0.6610000000000001
0.99175,0.021467017,0.652,1.7935531,0.652
0.9934999999999998,0.020928798,0.643,1.8351761,0.643
0.9897500000000001,0.02573083,0.663,1.8210955,0.663
0.9950000000000001,0.016539864,0.659,1.7961038,0.659
0.99225,0.021344092,0.6519999999999999,1.8382841,0.6519999999999999
0.9944999999999998,0.018071132,0.646,1.7945802,0.6459999999999999
0.9955,0.013728976,0.65,1.8449905,0.65
0.9925,0.023041865,0.6449999999999999,1.8582811,0.645
0.99375,0.019045588,0.647,1.8365052,0.647
0.9924999999999999,0.02229663,0.647,1.8828669,0.647
0.9945,0.015028292,0.646,1.837498,0.6459999999999999
0.9934999999999998,0.01660227,0.6519999999999999,1.7961708,0.6520000000000001
0.993,0.017741567,0.6619999999999999,1.8517799,0.6619999999999999
0.9959999999999998,0.013336795,0.655,1.8407692,0.655
0.9955,0.014597431,0.6519999999999999,1.8417244,0.652
0.9949999999999999,0.017394992,0.6519999999999999,1.9002548,0.652
0.9955,0.013645066,0.651,1.8751984,0.651
0.9954999999999998,0.012259116,0.65,1.8882525,0.65
0.9962500000000001,0.010124229,0.651,1.8965712,0.651
0.9959999999999999,0.0120477555,0.646,1.8525436,0.646
0.9974999999999999,0.00829264,0.649,1.8769516,0.6489999999999999
0.9949999999999999,0.015219008,0.641,1.94647,0.641
0.9950000000000001,0.015922233,0.6479999999999999,1.925469,0.6479999999999999
0.9950000000000001,0.017309494,0.643,1.8927886,0.643
0.99725,0.011091773,0.649,1.8647169,0.649
0.9969999999999999,0.008531894,0.64,1.894355,0.64
0.99825,0.008797532,0.6539999999999999,1.8439993,0.654
0.9945,0.015562634,0.647,1.8506653,0.647
0.9957499999999999,0.014709177,0.651,1.8558571,0.651
0.9964999999999998,0.0095768,0.649,1.8666916,0.649
0.9960000000000001,0.010857684,0.644,1.8941933,0.6439999999999999
0.9974999999999999,0.011693295,0.6519999999999999,1.8630524,0.6519999999999999
0.9982500000000002,0.007980105,0.6540000000000001,1.8867285,0.654
0.998,0.008245658,0.662,1.8808584,0.6619999999999999
0.9962500000000001,0.01284447,0.6559999999999999,1.9049225,0.6559999999999999
0.9964999999999999,0.013326973,0.657,1.9401882,0.657
0.998,0.008441129,0.656,1.8941152,0.656
0.9974999999999999,0.007802289,0.6479999999999999,1.8881938,0.648
0.9962500000000002,0.009425737,0.6519999999999999,1.8907045,0.652
0.9985000000000002,0.0056742104,0.6639999999999999,1.9202436,0.664
0.99725,0.0112535255,0.657,1.9129183,0.6569999999999999
0.9974999999999999,0.008270478,0.652,1.9204147,0.6519999999999999
0.9977499999999999,0.008354028,0.658,1.9097545,0.658
0.998,0.0083190035,0.649,1.9429289,0.6489999999999999
0.9984999999999999,0.0057516433,0.644,1.938154,0.644
1.0,0.0032172918,0.646,1.9327883,0.646
0.9982500000000002,0.0067193164,0.64,1.9423926,0.64
0.998,0.0067630922,0.644,1.930356,0.6439999999999999
0.99725,0.007968896,0.6499999999999999,1.9383547,0.65
0.9974999999999999,0.006555807,0.644,1.9184115,0.6439999999999999
0.99725,0.0069399877,0.658,1.9451939,0.6579999999999999
0.999,0.0067206235,0.653,1.9355125,0.653
0.99875,0.0050916364,0.6519999999999999,1.9168284,0.652
0.9974999999999999,0.009098178,0.662,1.915695,0.6620000000000001
0.9977499999999999,0.0067133857,0.6529999999999999,1.9518363,0.6529999999999999
0.9984999999999999,0.0061896564,0.654,1.9469998,0.654
0.99875,0.004718845,0.654,1.9390411,0.6539999999999999
0.9974999999999999,0.007751409,0.657,1.9416256,0.6569999999999998
0.9984999999999999,0.0049572154,0.659,1.9606946,0.659
0.9984999999999999,0.006610967,0.6559999999999999,1.9165735,0.6559999999999999
0.99725,0.008041933,0.651,1.9431282,0.651
0.9989999999999999,0.003005949,0.652,1.9571133,0.6519999999999999
0.9975000000000002,0.007695783,0.654,1.9604406,0.654
0.9984999999999999,0.0054668216,0.659,1.9703544,0.659
0.9984999999999999,0.0055195563,0.658,1.9597235,0.6580000000000001
0.998,0.00456725,0.66,1.9651283,0.6599999999999999
0.9977499999999999,0.0056793615,0.658,1.9484913,0.6579999999999999
0.999,0.0064482754,0.656,1.9681603,0.6559999999999999
0.999,0.0043787383,0.659,1.9494833,0.659
0.999,0.0050916374,0.659,1.9654852,0.659
0.9974999999999999,0.00832407,0.659,1.9413235,0.659
0.9995,0.0046740654,0.6599999999999999,1.9301262,0.6599999999999999
0.999,0.005024666,0.6620000000000001,1.9058692,0.662
0.999,0.0040931897,0.6579999999999999,1.9421482,0.6579999999999999
0.998,0.0063781454,0.662,1.939621,0.6619999999999999
1.0,0.0024523684,0.659,1.9404099,0.659
0.9974999999999999,0.0064525222,0.662,1.9312878,0.662
0.998,0.004841653,0.663,1.9236723,0.663
0.998,0.0064903097,0.6559999999999999,1.929903,0.6559999999999999
1.0,0.001834889,0.6599999999999999,1.9268873,0.6599999999999999
0.9977500000000001,0.007409369,0.659,1.9638462,0.659
0.9984999999999999,0.005573956,0.656,1.9495268,0.6559999999999999
0.9975000000000002,0.00585051,0.6559999999999999,1.939173,0.6559999999999999
1.0,0.0017031186,0.6609999999999999,1.9393886,0.6609999999999998
0.99925,0.0032792352,0.651,1.9328091,0.6509999999999999
0.9984999999999999,0.006136365,0.659,1.934202,0.659
0.99925,0.0038527467,0.6619999999999999,1.9284935,0.6619999999999999
0.9994999999999999,0.003838056,0.663,1.8996496,0.663
0.9984999999999999,0.005718601,0.666,1.9370731,0.6659999999999999
